Title,Year,Director,Casting,Ratings,genre
Invasion of the Body Snatchers,1978,Philip Kaufman,"Donald Sutherland,Brooke Adams,Leonard Nimoy,Veronica Cartwright",92,horror
Ringu (Ring),1998,Hideo Nakata,"Nanako Matsushima,Miki Nakatani,Hitomi Sato,Yuko Takeuchi",97,horror
Suspiria,1977,Dario Argento,"Jessica Harper,Stefania Casini,Joan Bennett,Alida Valli",93,horror
Harpoon,2019,Rob Grant,"Brett Gelman,Munro Chambers,Emily Tyra,Christopher Gray",97,horror
Dead of Night,1945,Alberto Cavalcanti,"Michael Redgrave,Mervyn Johns,Googie Withers,Roland Culver",93,horror
Green Room,2016,Jeremy Saulnier,"Anton Yelchin,Imogen Poots,Patrick Stewart,Alia Shawkat",91,horror
A Quiet Place Part II,2021,John Krasinski,"Emily Blunt,Cillian Murphy,Millicent Simmonds,Noah Jupe",91,horror
The Loved Ones,2012,Sean Byrne,"Xavier Samuel,Robin McLeavy,John Brumpton,Richard Wilson",98,horror
Evil Dead 2: Dead by Dawn,1987,Sam Raimi,"Bruce Campbell,Sarah Berry,Dan Hicks,Kassie Wesley DePaiva ",95,horror
The Innocents,1961,Jack Clayton,"Deborah Kerr,Michael Redgrave,Peter Wyngarde,Megs Jenkins",94,horror
The Evil Dead,1981,Sam Raimi,"Bruce Campbell,Ellen Sandweiss,Betsy Baker,Hal Delrich",95,horror
The Love Witch,2016,Anna Biller,"Samantha Robinson (VI) ,Laura Waddell,Jeffrey Vincent Parise,Gian Keys",95,horror
Raw,2017,Julia Ducournau,"Garance Marillier,Ella Rumpf,Rabah Nait Oufella,Laurent Lucas",92,horror
Nosferatu: Phantom der Nacht (Nosferatu the Vampyre),1979,Werner Herzog,"Klaus Kinski,Isabelle Adjani,Bruno Ganz,Roland Topor",95,horror
Creep 2,2017,Patrick Brice,"Mark Duplass,Karan Soni,Patrick Brice,Desiree Akhavan",100,horror
Carrie,1976,Brian DePalma,"Sissy Spacek,Piper Laurie,John Travolta,Amy Irving",93,horror
Midsommar,2019,Ari Aster,"Florence Pugh,Liv Mjönes,Jack Reynor,Vilhelm Blomgren",83,horror
Dracula,1931,Tod Browning,"Bela Lugosi,Helen Chandler,David Manners,Dwight Frye",94,horror
